1.485042605408784e-9	3.1869317350339963e-12	1.e-11
1.905525447346832e-9	3.1929268933355306e-12	1.2825384799061333e-11
2.4448129839470242e-9	3.202357859529322e-12	1.644904952439935e-11
3.136473310428555e-9	3.2171047490939553e-12	2.1096538972923848e-11
4.023559449889029e-9	3.239886046111906e-12	2.705712302561425e-11
5.161289453609765e-9	3.2744298080815636e-12	3.470180143590454e-11
6.620483780408894e-9	3.3255462099228384e-12	4.450639566360948e-11
8.491973904157445e-9	3.3991042221863616e-12	5.7081165040506626e-11
1.0892256491277809e-8	3.502040235700685e-12	7.320879064232248e-11
1.397074507559261e-8	3.642572061078388e-12	9.389309106617063e-11
1.791907085453999e-8	3.830706087630569e-12	1.2042150228969464e-10
2.2983011315649437e-8	4.079019848930449e-12	1.544452104946379e-10
2.947778956247478e-8	4.403664565840188e-12	1.9808192549657567e-10
3.780769649336085e-8	4.82560855779676e-12	2.540476916232581e-10
4.8491257412797874e-8	5.372212899845485e-12	3.2582594023815554e-10
6.219350990322368e-8	6.079293960757525e-12	4.1788430610703066e-10
7.976740154820016e-8	6.993885562166612e-12	5.359527027311404e-10
1.0230688569434475e-7	8.178029727619161e-12	6.873799646623806e-10
1.312150195762033e-7	9.71402240186794e-12	8.815912549960212e-10
1.6829130469456207e-7	1.1711765202030713e-11	1.1306747080811373e-9
2.1584370660502865e-7	1.4319196665383469e-11	1.450133821370693e-9
2.768323281956086e-7	1.7737178142329214e-11	1.8598524269212406e-9
3.550536809040803e-7	2.224091088129613e-11	2.385332304473301e-9
4.5537702722535985e-7	2.8210845095229096e-11	3.059280467850181e-9
5.840475090173995e-7	3.61773177688368e-11	3.9236449208430955e-9
7.490749363833905e-7	4.688490093468951e-11	5.032225592469525e-9
9.60732445837581e-7	6.138471189386729e-11	6.454022961910605e-9
1.2321960791132048e-6	8.116590784368688e-11	8.277532798848108e-9
1.5803651110502294e-6	1.0834163211242257e-10	1.0616254333207813e-8
2.026914212991832e-6	1.459098190569685e-10	1.3615754694809249e-8
2.5996429781385444e-6	1.981168578647497e-10	1.746272932905545e-8
3.3342068574761117e-6	2.7096232736468854e-10	2.239662232869903e-8
4.276337318567722e-6	3.7289786160004633e-10	2.8724529956481416e-8
5.484689508841832e-6	5.157947798959296e-10	3.6840314986403866e-8
7.03449481652222e-6	7.162857543719596e-10	4.7249121581925555e-8
9.022245856720385e-6	9.976250845495434e-10	6.059881657058288e-8
0.000011571705689155066	1.3922219064054664e-9	7.772031408854596e-8
0.000014841615677855016	1.945095543842241e-9	9.967929348895098e-8
0.000019035582168077017	2.7184580140918737e-9	1.2784252954943676e-7
0.00002441475783357211	3.7972407252716364e-9	1.6396296351568956e-7
0.00003131410916928754	5.293949119395442e-9	2.1028880998831728e-7
0.000040163295754755676	7.3699919777937e-9	2.6970349070368617e-7
0.000051513423835208384	1.0275321283932171e-8	3.4590510499248357e-7
0.00006607137312153748	1.4331569726953785e-8	4.4363660754883134e-7
0.00008474385818664496	1.9977663009256535e-8	5.68981020276392e-7
0.00010869392509122491	2.782203209993335e-8	7.297400528407246e-7
0.00013941343358677693	3.8693289430914814e-8	9.359196980969642e-7
0.00017881604188985255	5.3725413306870517e-8	1.2003530269114878e-6
0.00022935647191571777	7.45313748354941e-8	1.5394989464857853e-6
0.0002941835077300901	1.0338943125203651e-7	1.9744666386429728e-6
0.0003773363134879642	1.4347366691365472e-7	2.532329441350531e-6
0.00048399631833986135	1.9912940792223672e-7	3.2478099523312574e-6
0.0006208103252248135	2.762221898378671e-7	4.165441239286943e-6
0.0007963049454152288	3.824624457304191e-7	5.342338675173395e-6
0.001021418124706251	5.276090466344377e-7	6.851754923600632e-6
0.0013101798102816984	7.174916119600626e-7	8.787639344404119e-6
0.001680592433466781	9.691353189791707e-7	0.000011270485606735388
0.0021557481395046577	1.3407655043234543e-6	0.000014454831477866359
0.0027652766861442054	1.8575988764451738e-6	0.000018538877590922046
0.0035471911254682732	2.5738076032367105e-6	0.00002377682388462704
0.0045502615880886905	3.5647561344294365e-6	0.000030494691561985408
0.005837061535138009	4.9348137113633535e-6	0.000039110615361115156
0.007487877239785275	6.828453809849692e-6	0.0000501608691734381
0.009605724321857379	9.445091249149563e-6	0.00006433324490047171
0.012322786332980359	0.000013041462960908644	0.00008250986212207999
0.015808690301201588	0.000017583784166239417	0.00010582207314331712
0.020281059658975167	0.000023900133131548346	0.0001357208808297456
0.02601900771187396	0.00003160834893309395	0.00017406725219090339
0.033381094456592	0.00004367927328269398	0.00022324794902635876
0.04282727719670094	0.0000603725683164925	0.0002863240851864281
0.05494793368901894	0.00008337853835200046	0.0003672216569755157
0.0705006762357425	0.00011463585334053898	0.00047097590572598943
0.09045664761443137	0.00014867538188556562	0.0006040447222022249
0.11606351905276407	0.00020222267161559216	0.000774710599808564
0.14892283238964182	0.00027362400454419595	0.0009935961550456445
0.19108969125258493	0.00037136583553933734	0.0012743253023328222
0.24519986766323862	0.00048016142242401905	0.0016343712361598613
0.3146254146574781	0.0005591671467927886	0.0020961440008267765
0.40368664428180306	0.0006303525207399355	0.0026883853404847348
0.5179320138960165	0.0007088230883383759	0.0034479576479872244
0.6644824882552387	0.0008218148631332639	0.004422138360630261
0.8524760738593313	0.000973862606657783	0.005671562610977335
1.0936349434444532	0.0011799080788801992	0.007273997289775332
1.4029981480251645	0.001459400635760369	0.009329181426869788
1.7998592570248853	0.0018316696545622776	0.01196503416598611
2.3089718087115036	0.0023421593941766036	0.015345616731268774
2.9620947985727355	0.0030244625002739983	0.01968134395574358
3.7999713665671973	0.0039258972540635	0.025242080959509135
4.874871142994169	0.00510659909916897	0.032373940143476394
6.253852034504603	0.006651018494620465	0.04152082398018636
8.022947172765768	0.008695693673225145	0.05325205447199834
10.292555235146757	0.011522599759195814	0.06829780899439536
13.20438264020446	0.01573989565444094	0.08759456812859127
16.940429914152766	0.022687783814225752	0.11234340425567768
21.734680661617748	0.035237831327779356	0.14408473892155707
27.88839870970342	0.05922854873436924	0.18479422203412588
35.79027964232942	0.1060514548884829	0.2370057006230843
45.94090752089815	0.17773796217798682	0.30396893100621863
58.987858431215884	0.3162482940407968	0.389851850711408
75.77274370656862	0.5521359403844698	0.5
