0.055	0.2319	0.021600000000000008
0.06	0.2687	0.028299999999999992
0.065	0.3093	0.03639999999999999
0.07	0.3545	0.04570000000000002
0.075	0.4046	0.05679999999999996
0.08	0.4606	0.06930000000000003
0.085	0.5229	0.0837
0.09	0.5924	0.10009999999999997
0.095	0.6698	0.11850000000000005
0.1	0.7559	0.1391
0.105	0.8515	0.16249999999999998
0.11	0.9574	0.1876
0.115	1.074	0.21599999999999997
0.12	1.204	0.246
0.125	1.346	0.2799999999999998
0.13	1.501	0.31800000000000006
0.135	1.671	0.35899999999999976
0.14	1.856	0.4029999999999998
0.145	2.055	0.44999999999999973
0.15	2.269	0.5009999999999999
0.155	2.499	0.556
0.16	2.746	0.6160000000000001
0.165	3.012	0.6789999999999998
0.17	3.296	0.7479999999999998
0.175	3.601	0.8200000000000003
