# nb[1/fm^3],EcenN2LO[MeV/fm^3],EsigmaN2LO[MeV/fm^3],PcenN2LO[MeV/fm^3],PsigmaN2LO[MeV/fm^3],EcenN3LO[MeV/fm^3],EsigmaN3LO[MeV/fm^3],PcenN3LO[MeV/fm^3],PsigmaN3LO[MeV/fm^3]
0.055	52.04	0.00999999999999801	0.2319	0.021600000000000008	52.03	0.	0.2199	0.009099999999999997
0.06	56.79	0.020000000000003126	0.2687	0.028299999999999992	56.78	0.00999999999999801	0.2524	0.012699999999999989
0.065	61.55	0.020000000000003126	0.3093	0.03639999999999999	61.54	0.	0.2882	0.01679999999999998
0.07	66.31	0.01999999999999602	0.3545	0.04570000000000002	66.29	0.009999999999990905	0.328	0.021699999999999997
0.075	71.07	0.030000000000001137	0.4046	0.05679999999999996	71.05	0.01999999999999602	0.3724	0.02749999999999997
0.08	75.84	0.030000000000001137	0.4606	0.06930000000000003	75.82	0.010000000000005116	0.4223	0.034399999999999986
0.085	80.61	0.04000000000000625	0.5229	0.0837	80.58	0.01999999999999602	0.4785	0.04230000000000006
0.09	85.39	0.04000000000000625	0.5924	0.10009999999999997	85.35	0.030000000000001137	0.5419	0.0514
0.095	90.17	0.04999999999999716	0.6698	0.11850000000000005	90.13	0.020000000000010232	0.6131	0.062000000000000055
0.1	94.95	0.060000000000002274	0.7559	0.1391	94.91	0.030000000000001137	0.6932	0.07389999999999997
0.105	99.74	0.07000000000000739	0.8515	0.16249999999999998	99.69	0.030000000000001137	0.7829	0.08739999999999992
0.11	104.5	0.09999999999999432	0.9574	0.1876	104.5	0.	0.883	0.10250000000000004
0.115	109.3	0.10000000000000853	1.074	0.21599999999999997	109.3	0.	0.9942	0.11980000000000013
0.12	114.1	0.10000000000000853	1.204	0.246	114.1	0.	1.117	0.139
0.125	118.9	0.19999999999998863	1.346	0.2799999999999998	118.9	0.	1.253	0.16000000000000014
