0.055	0.2319	0.021600000000000008
0.06	0.2687	0.028299999999999992
0.065	0.3093	0.03639999999999999
0.07	0.3545	0.04570000000000002
0.075	0.4046	0.05679999999999996
0.08	0.4606	0.06930000000000003
0.085	0.5229	0.0837
0.09	0.5924	0.10009999999999997
0.095	0.6698	0.11850000000000005
0.1	0.7559	0.1391
0.105	0.8515	0.16249999999999998
0.11	0.9574	0.1876
0.115	1.074	0.21599999999999997
0.12	1.204	0.246
0.125	1.346	0.2799999999999998
0.13	1.501	0.31800000000000006
0.135	1.671	0.35899999999999976
0.14	1.856	0.4029999999999998
0.145	2.055	0.44999999999999973
0.15	2.269	0.5009999999999999
0.155	2.499	0.556
0.16	2.746	0.6160000000000001
0.165	3.012	0.6789999999999998
0.17	3.296	0.7479999999999998
0.175	3.601	0.8200000000000003
0.18	3.926	0.8979999999999997
0.185	4.272	0.9809999999999999
0.19	4.64	1.069
0.195	5.03	1.162
0.2	5.442	1.2610000000000001
0.205	5.877	1.3650000000000002
0.21	6.335	1.476
0.215	6.815	1.592999999999999
0.22	7.319	1.7160000000000002
0.225	7.845	1.8470000000000004
0.23	8.395	1.9850000000000012
0.235	8.967	2.132999999999999
0.24	9.562	2.2780000000000005
0.245	10.18	2.4399999999999995
0.25	10.82	2.6099999999999994
0.255	11.48	2.789999999999999
0.26	12.17	2.9700000000000006
0.265	12.87	3.17
0.27	13.6	3.369999999999999
0.275	14.35	3.58
0.28	15.11	3.8100000000000023
0.285	15.9	4.040000000000001
0.29	16.7	4.289999999999999
0.295	17.52	4.550000000000001
0.3	18.36	4.82
0.305	19.22	5.09
0.31	20.08	5.390000000000001
0.315	20.96	5.699999999999999
0.32	21.86	6.02
0.325	22.76	6.359999999999999
0.33	23.66	6.719999999999999
0.335	24.58	7.080000000000002
